               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.0967,            0.049491,            0.036563,             0.20526,             0.24612,             0.21807,            0.042047,            0.055086,            0.038205,            0.043847,             0.00085,             0.00085,             0.09235
                   1,            0.064404,            0.051498,            0.025858,             0.69493,             0.47059,             0.38487,             0.13162,             0.04595,            0.027883,             0.05058,           0.0017096,           0.0017096,             0.08461
                   2,            0.060088,            0.039817,             0.01749,             0.38045,             0.91176,             0.79716,             0.33403,            0.055898,            0.019815,             0.05501,           0.0025677,           0.0025677,            0.076868
                   3,            0.062263,             0.03268,             0.01414,             0.48644,              0.9226,             0.75336,             0.20606,            0.049462,            0.018195,            0.041262,           0.0034231,           0.0034231,            0.069123
                   4,            0.062945,             0.02972,            0.011873,             0.51819,              0.9659,             0.77863,             0.33927,            0.045517,            0.017735,            0.032452,           0.0042748,           0.0042748,            0.061375
                   5,            0.061694,            0.027139,           0.0099958,                   1,             0.49982,             0.76838,             0.34782,            0.059819,            0.014633,            0.027076,           0.0051215,           0.0051215,            0.053621
                   6,            0.065366,            0.025215,           0.0092025,             0.49619,             0.87526,             0.87587,             0.36347,            0.055023,            0.014515,            0.018955,           0.0059621,           0.0059621,            0.045862
                   7,            0.062599,            0.023526,           0.0084504,             0.57787,             0.82353,             0.66185,             0.10289,            0.060233,            0.012827,            0.017061,           0.0067955,           0.0067955,            0.038096
                   8,            0.059541,            0.023294,           0.0079196,             0.58204,             0.85294,             0.74412,             0.20337,            0.049418,            0.011989,            0.012294,           0.0076207,           0.0076207,            0.030321
                   9,            0.055577,            0.021591,           0.0065125,             0.46068,             0.99934,             0.73171,             0.30688,            0.048638,            0.011098,            0.011078,           0.0084365,           0.0084365,            0.022537
                  10,            0.055159,             0.02008,           0.0070746,             0.57801,             0.99684,             0.90158,             0.48118,            0.044456,            0.011824,           0.0073682,           0.0092419,           0.0092419,            0.014742
                  11,            0.055656,            0.020854,           0.0060656,             0.78434,             0.99981,             0.93225,             0.28762,            0.054686,            0.010888,           0.0032869,            0.009734,            0.009734,            0.009734
                  12,             0.05347,            0.022528,            0.007911,             0.68746,             0.87967,             0.93061,               0.601,            0.045586,            0.011491,            0.032345,            0.009734,            0.009734,            0.009734
                  13,            0.050072,            0.021235,           0.0076191,             0.68167,             0.94118,              0.8727,             0.50299,            0.041805,            0.011009,            0.012558,            0.009684,            0.009684,            0.009684
                  14,            0.043017,            0.019366,           0.0068314,             0.81156,             0.97059,             0.96187,             0.64181,            0.038606,             0.01027,           0.0078789,           0.0096299,           0.0096299,           0.0096299
                  15,            0.041961,            0.019757,           0.0049164,             0.86457,                   1,             0.95873,             0.66788,            0.032068,            0.011764,           0.0043256,           0.0095717,           0.0095717,           0.0095717
                  16,            0.038422,            0.020283,           0.0043746,             0.99297,                   1,               0.995,             0.73724,            0.024497,           0.0094315,           0.0060161,           0.0095095,           0.0095095,           0.0095095
                  17,            0.036273,            0.018442,           0.0044416,              0.9998,                   1,               0.995,             0.69885,              0.0277,           0.0089807,            0.003487,           0.0094434,           0.0094434,           0.0094434
                  18,             0.03658,            0.018685,           0.0036022,             0.99478,             0.99951,               0.995,             0.56142,            0.023991,           0.0091606,           0.0025748,           0.0093733,           0.0093733,           0.0093733
                  19,            0.032263,            0.017565,           0.0038397,             0.97091,                   1,             0.98694,             0.80017,            0.025014,           0.0084856,           0.0019871,           0.0092995,           0.0092995,           0.0092995
